GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JO2024,com.example.JO2024.controllers,CodeController,5,122,3,5,0,28,4,6,1,5
JO2024,com.example.JO2024.controllers,TokenController,12,105,4,6,2,20,4,5,0,4
JO2024,com.example.JO2024.controllers,AuthController,39,174,3,7,9,36,2,11,0,8
JO2024,com.example.JO2024.controllers,TicketController,26,259,0,0,7,59,0,11,0,11
JO2024,com.example.JO2024.controllers,BundleController,5,18,0,0,0,5,1,3,1,3
JO2024,com.example.JO2024.controllers,InvoiceItemController,0,66,0,0,0,5,0,5,0,5
JO2024,com.example.JO2024.controllers,AdminController,80,102,0,0,7,19,5,5,5,5
JO2024,com.example.JO2024.controllers,BundleCartController,0,500,1,13,0,110,1,15,0,9
JO2024,com.example.JO2024.controllers,PaimentController,0,27,0,2,0,6,0,3,0,2
JO2024,com.example.JO2024.controllers,CustomerController,95,77,8,6,19,15,10,3,3,3
JO2024,com.example.JO2024.errors,ErrorResponse,0,96,1,5,0,26,1,12,0,10
JO2024,com.example.JO2024.errors,GlobalExceptionHandler,36,126,0,0,8,30,2,9,2,9
JO2024,com.example.JO2024.errors,InvalidTokenException,0,4,0,0,0,2,0,1,0,1
JO2024,com.example.JO2024.errors,InvalidPaiementException,4,0,0,0,2,0,1,0,1,0
JO2024,com.example.JO2024.Enum,RoleEnum,0,24,0,0,0,3,0,1,0,1
JO2024,com.example.JO2024.dto,CustomerAuthResponseDTO,0,13,0,0,0,3,0,3,0,3
JO2024,com.example.JO2024.dto,ItemCartDTO,0,56,0,0,0,4,0,12,0,12
JO2024,com.example.JO2024.dto,ValidateCodeDTO.ValidateCodeDTOBuilder,6,21,0,0,0,1,1,4,1,4
JO2024,com.example.JO2024.dto,BundleDTO,0,56,0,0,0,4,0,12,0,12
JO2024,com.example.JO2024.dto,ValidateCodeDTO,0,30,0,0,0,5,0,7,0,7
JO2024,com.example.JO2024.dto,SignupCustomerDTO,0,50,0,0,0,5,0,11,0,11
JO2024,com.example.JO2024.dto,UserIdDTO,3,13,0,0,1,3,1,3,1,3
JO2024,com.example.JO2024.dto,CustomerDTO,0,80,0,0,0,5,0,17,0,17
JO2024,com.example.JO2024.dto,TicketDTO.TicketDTOBuilder,21,63,0,0,0,1,1,10,1,10
JO2024,com.example.JO2024.dto,SignupCustomerDTO.SignupCustomerDTOBuilder,10,35,0,0,0,1,1,6,1,6
JO2024,com.example.JO2024.dto,CustomerBasicDTO,0,60,0,0,0,5,0,13,0,13
JO2024,com.example.JO2024.dto,ResponseDTO,0,30,0,0,0,5,0,7,0,7
JO2024,com.example.JO2024.dto,InvoiceItemDTO,24,12,0,0,3,1,7,1,7,1
JO2024,com.example.JO2024.dto,LoginDTO,0,15,0,0,0,3,0,3,0,3
JO2024,com.example.JO2024.dto,CustomerDTO.CustomerDTOBuilder,16,56,0,0,0,1,1,9,1,9
JO2024,com.example.JO2024.dto,PasswordDTO,0,16,0,0,0,4,0,4,0,4
JO2024,com.example.JO2024.dto,ResponseDTO.ResponseDTOBuilder,6,21,0,0,0,1,1,4,1,4
JO2024,com.example.JO2024.dto,TokenDTO,0,16,0,0,0,4,0,4,0,4
JO2024,com.example.JO2024.dto,BundleInCartDTO,0,26,0,0,0,4,0,6,0,6
JO2024,com.example.JO2024.dto,EmailDTO,0,16,0,0,0,4,0,4,0,4
JO2024,com.example.JO2024.dto,CustomerBasicDTO.CustomerBasicDTOBuilder,12,42,0,0,0,1,1,7,1,7
JO2024,com.example.JO2024.dto,TicketDTO,0,132,0,0,0,21,0,21,0,21
JO2024,com.example.JO2024.dto,ClaimCodeDTO,0,23,0,0,0,3,0,5,0,5
JO2024,com.example.JO2024.models,Customer.CustomerBuilder,36,145,0,8,0,1,1,20,1,16
JO2024,com.example.JO2024.models,BundleCart,11,51,0,0,0,5,3,9,3,9
JO2024,com.example.JO2024.models,ResetPasswordToken,0,95,0,0,0,5,0,20,0,20
JO2024,com.example.JO2024.models,InvoiceItem,0,56,0,0,0,4,0,12,0,12
JO2024,com.example.JO2024.models,Ticket,7,104,0,0,0,6,2,21,2,21
JO2024,com.example.JO2024.models,Bundle,12,90,0,0,0,5,3,18,3,18
JO2024,com.example.JO2024.models,Ticket.TicketBuilder,32,72,1,1,0,1,3,10,2,10
JO2024,com.example.JO2024.models,Cart,7,45,0,0,0,5,2,8,2,8
JO2024,com.example.JO2024.models,RefreshToken.RefreshTokenBuilder,17,69,0,4,0,1,1,10,1,8
JO2024,com.example.JO2024.models,Invoice,0,76,0,0,0,4,0,16,0,16
JO2024,com.example.JO2024.models,Role,0,48,0,0,0,13,0,8,0,8
JO2024,com.example.JO2024.models,ResetPasswordToken.ResetPasswordTokenBuilder,27,78,1,5,0,1,3,10,2,8
JO2024,com.example.JO2024.models,Customer,10,213,3,3,0,16,4,42,1,42
JO2024,com.example.JO2024.models,Code,4,75,0,0,0,10,1,13,1,13
JO2024,com.example.JO2024.models,Bundle.BundleBuilder,22,83,0,4,0,1,1,12,1,10
JO2024,com.example.JO2024.models,RefreshToken,0,80,0,0,0,5,0,17,0,17
JO2024,com.example.JO2024.services,EmailSenderService,55,135,0,2,15,40,2,10,2,9
JO2024,com.example.JO2024.services,CustomerService,0,101,0,0,0,27,0,12,0,12
JO2024,com.example.JO2024.services,BundleService,2,59,1,1,1,14,1,6,0,6
JO2024,com.example.JO2024.services,InvoiceService,0,171,0,6,0,34,0,8,0,5
JO2024,com.example.JO2024.services,BundleCartService,29,144,0,0,6,39,4,13,4,13
JO2024,com.example.JO2024.services,RoleService,6,25,0,0,1,7,0,5,0,5
JO2024,com.example.JO2024.services,TicketService,5,94,0,6,2,23,1,16,1,13
JO2024,com.example.JO2024.services,ResetPasswordTokenService,0,25,0,0,0,7,0,5,0,5
JO2024,com.example.JO2024.services,CodeService,0,46,0,0,0,14,0,7,0,7
JO2024,com.example.JO2024.services,PaiementService,132,7,4,0,22,2,6,2,4,2
JO2024,com.example.JO2024.services,TicketGeneratorService,6,56,0,2,2,15,0,4,0,3
JO2024,com.example.JO2024.services,CartService,0,38,0,0,0,11,0,6,0,6
JO2024,com.example.JO2024.services,AuthService,0,201,1,3,0,52,1,9,0,8
JO2024,com.example.JO2024.services,InvoiceItemService,0,12,0,0,0,3,0,3,0,3
JO2024,com.example.JO2024.services,RefreshTokenService,0,26,0,0,0,6,0,5,0,5
JO2024,com.example.JO2024.security,CustomUserDetailsService,10,91,0,2,0,24,2,7,2,6
JO2024,com.example.JO2024.security,JwtGenerator,14,316,3,7,5,79,4,14,1,12
JO2024,com.example.JO2024.security,SecurityConfig,0,236,0,0,0,36,0,11,0,11
JO2024,com.example.JO2024.security,JwtAuthenticationFilter,29,151,5,11,10,33,5,8,0,5
JO2024,com.example.JO2024,NoPopupBasicAuthenticationEntryPoint,0,9,0,0,0,3,0,2,0,2
JO2024,com.example.JO2024,Jo2024Application,0,8,0,0,0,3,0,2,0,2
JO2024,com.example.JO2024,QrCodeGenerator,3,26,0,0,1,6,1,2,1,2
JO2024,com.example.JO2024,InstantTypeAdapter,0,13,0,0,0,4,0,3,0,3
